ФИО;Логин;Пароль;Роль;Номер телефона;Пол;ID;
Чашин*Елизар*Михеевич;Elizor@gmai,com;yntiRS;Администратор; +7(1070)628 29 16;Мужской;1;
Филенкова*Владлена*Олеговна;Vladlena@gmai.com;07i7Lb;Менеджер А; +7(334)1460151;Женский;2;
Ломовцев*Адам*Владимирович;Adam@gmai.com;7SP9CV;Менеджер С;+7(8560)519-32-99;Male;3;
Тепляков*Кир*Федосиевич;Kar@gmai.com;6QF1WB;Удален;+7(824)893-24-03;Male;4;
Рюриков*Юлий*Глебович;Yli@gmai.com;GwffgE;Администратор;+7(6402)701-31-09;Мужской;5;
Беломестина*Василиса*Тимофеевна;Vasilisa@gmai.com;d7iKKV;Администратор;+7(92)920-74-47;Ж;6;
Панькива*Галина*Якововна;Galina@gmai.com;8KC7wJ;Менеджер А; +7 (405) 088 73 89;Female;7;
Зарубин*Мирон*Мечиславович;Miron@@gmai,com;x58OAN;Администратор;+7(6010)195-02-09;М;8;
Веточкина*Всеслава*Андрияновна;Vseslava@gmai.com;fhDSBf;Менеджер С;+7(078)429-57-86;Женский;9;
Рябова*Виктория*Елизаровна;Victoria@gmai.com;9mlPQJ;Удален;+7(6394)904-01-61;Female;10;
Федотов*Леон#Фёдорович;Anisa@gmai.com;Wh4OYm;Менеджер А; +7(22)3264959;М;11;
Шарапов*Феофан*Кириллович;Feafan@@gmai,com;Kc1PeS;Менеджер С;+7(789)762-30-28;М;12;
