codeEmployee,nameEmployee,gender,birthDate,telephon,education,nameDepartment,codePosition,namePosition,codeDepartment,dateAppoint,dateDismissal,статус
1,Фуфаев Ярослав Станиславович,м,3/1/1990,3955889,высшее,Административно-управленческий персонал,14,зам дир по вос  раб ,1,2002-05-30,,работает
13,Акимов Аким Акимович,м,2/17/1960,2354678,высшее,Административно-управленческий персонал,11,директор            ,1,2007-11-26,,работает
14,Пронин Василий Вадимович,м,7/20/1975,5358946,среднее,Административно-управленческий персонал,12,зам дир по уч работе,1,2003-02-17,,работает
18,Петров Петр Петрович,м,1/2/1982,3230326,высшее,Бухгалтерия,24,Кассир              ,2,2003-02-18,2019-02-19,уволен
19,Петренко Петр Иванович,м,1/2/1982,3230326,высшее,Бухгалтерия,23,Бух                 ,2,2003-02-18,,работает
20,Петренко Иван Иванович,м,1/2/1982,3230326,высшее,Бухгалтерия,22,Ст бух              ,2,2003-02-19,,работает
9,Дубова Галина Ивановна,ж,2/14/1960,3465789,высшее,Отдел кадров,34,Архивариус          ,3,2002-01-01,,работает
16,Бабичев Евгений Иванович,м,6/12/1960,2356789,средее,Учебная часть,41,Завуч               ,4,2003-02-17,,работает
3,Нагаев Дмитрий Иванович,м,9/20/1985,4231112,высшее,Штат преподавателей,51,Основной препод     ,5,2005-12-01,,работает
11,Семенова Ольга Евгеньевна,ж,6/12/1960,2357890,средее,Штат преподавателей,52,Совместитель        ,5,2002-03-10,,работает
12,Сидоров Павел Петрович,м,2/7/1960,2346578,высшее,Штат преподавателей,51,Основной препод     ,5,2007-11-26,,работает
15,Овдиенко Евгений Павлович,м,2/2/1980,4387298,среднее,Штат преподавателей,51,Основной препод     ,5,2003-02-17,,работает
17,Кузнецов Василий Петрович,м,1/1/1950,3230000,высшее,Штат преподавателей,51,Основной препод     ,5,2003-02-18,,работает
21,Ильенко Александр Иванович,м,1/2/1982,3230326,высшее,Штат преподавателей,51,Основной препод     ,5,2008-01-19,,работает
23,Ильенко Дмитрий Иванович,м,1/2/1982,3230326,высшее,Штат преподавателей,51,Основной препод     ,5,2005-11-05,2019-11-05,уволен
